timestamp,precipitation
"Jan 1, 2018",0.489
"Jan 2, 2018",3.496
"Jan 3, 2018",5.4
"Jan 4, 2018",2.72
"Jan 5, 2018",0
"Jan 6, 2018",6.582
"Jan 7, 2018",0.179
"Jan 8, 2018",0
"Jan 9, 2018",0
"Jan 10, 2018",0
"Jan 11, 2018",1.159
"Jan 12, 2018",0.24
"Jan 13, 2018",0.214
"Jan 14, 2018",0
"Jan 15, 2018",0
"Jan 16, 2018",0
"Jan 17, 2018",0
"Jan 18, 2018",0
"Jan 19, 2018",2.378
"Jan 20, 2018",0
"Jan 21, 2018",0
"Jan 22, 2018",0
"Jan 23, 2018",0
"Jan 24, 2018",0
"Jan 25, 2018",6.401
"Jan 26, 2018",11.357
"Jan 27, 2018",0
"Jan 28, 2018",0
"Jan 29, 2018",0
"Jan 30, 2018",0
"Jan 31, 2018",0.239
"Feb 1, 2018",0
"Feb 2, 2018",0
"Feb 3, 2018",0
"Feb 4, 2018",0
"Feb 5, 2018",0
"Feb 6, 2018",0
"Feb 7, 2018",6.188
"Feb 8, 2018",0
"Feb 9, 2018",0
"Feb 10, 2018",0
"Feb 11, 2018",0
"Feb 12, 2018",0
"Feb 13, 2018",0
"Feb 14, 2018",0
"Feb 15, 2018",0
"Feb 16, 2018",0
"Feb 17, 2018",0
"Feb 18, 2018",0
"Feb 19, 2018",0
"Feb 20, 2018",0
"Feb 21, 2018",0
"Feb 22, 2018",0
"Feb 23, 2018",0
"Feb 24, 2018",0
"Feb 25, 2018",0
"Feb 26, 2018",0
"Feb 27, 2018",0
"Feb 28, 2018",23.439
"Mar 1, 2018",18.151
"Mar 2, 2018",19.09
"Mar 3, 2018",13.071
"Mar 4, 2018",17.576
"Mar 5, 2018",7.061
"Mar 6, 2018",26.241
"Mar 7, 2018",0
"Mar 8, 2018",0
"Mar 9, 2018",0.633
"Mar 10, 2018",17.412
"Mar 11, 2018",21.079
"Mar 12, 2018",6.446
"Mar 13, 2018",13.747
"Mar 14, 2018",11.589
"Mar 15, 2018",19.45
"Mar 16, 2018",5.455
"Mar 17, 2018",21.028
"Mar 18, 2018",8.152
"Mar 19, 2018",9.597
"Mar 20, 2018",0
"Mar 21, 2018",0.025
"Mar 22, 2018",0
"Mar 23, 2018",0
"Mar 24, 2018",0
"Mar 25, 2018",0.677
"Mar 26, 2018",0
